Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
27.2,22.3,26.1,29.3,44.3,0,0.82,6.7,305,Good
24.6,74.7,35.9,36.2,34.7,25.8,0.49,11.8,280,Good
30.5,35.9,79.5,92.6,26.6,24.3,0.63,4.1,333,Good
32.1,43.6,39.1,44.7,21.7,1.5,0.87,6.3,290,Moderate
24.8,75.6,90.5,103.4,14,4.2,0.71,7.4,298,Moderate
32,53.3,15.9,17.4,26,17.5,1.16,6,302,Poor
21.7,62.5,110.4,120.2,19.6,18.2,1.59,1,317,Good
20,49.1,50.8,57.4,19.4,18,0.42,0.7,310,Good
23.6,79,7.4,16.5,23.9,7.6,1.05,2.3,302,Moderate
27.6,58.9,14,26.5,30,20.8,1.11,6.5,294,Good
31.1,79.4,3.6,14.3,21.3,22.6,1.09,7.3,296,Good
31.6,62.5,2.7,20,23.6,8.9,1.36,5.6,288,Moderate
24.1,61.9,21,30.1,14.1,19,0.57,4.6,293,Good
29.6,79.3,75,86.8,2,9.7,0.88,1.2,276,Poor
21.9,74.1,26.1,40.4,11.1,10.7,0.79,5.6,342,Good
18.3,42.8,23.9,36.7,7.2,20,0.77,8.6,291,Poor
28.3,72.1,79.4,90.3,17.2,6,0.46,4,311,Good
22.7,45.6,8.1,22.4,8.1,20.6,0.8,7.2,259,Poor
30.6,50.9,8.5,21.1,38.1,11.6,1.08,6.4,295,Moderate
27.3,66.2,128.3,127.9,-2.4,7.1,1,1.1,314,Good
20.8,51.8,23,31.1,15.8,20.3,0.67,0.4,292,Poor
19.2,54.5,44,59.4,3.8,20.5,0.71,7.3,302,Poor
30.7,68.9,45.4,53.2,19.5,14.5,0.6,4,288,Moderate
34.5,69.8,18.3,23.9,12.3,22.2,0.27,13.3,294,Hazardous
18.7,26.5,7.3,8.1,26.1,20.8,1.23,13.3,315,Poor
32.8,91.6,9.1,19.1,36.1,14.1,0.53,2.7,296,Good
26.3,53.6,9,21.7,25.7,0,0.97,4.2,323,Moderate
27.4,44.6,37.9,50.8,11.3,11.1,1.2,7.6,295,Moderate
24.5,48.9,5.9,23,20.1,22.5,0.89,1.6,295,Moderate
35,57.1,241.6,239,27.8,23.5,0.62,10.6,300,Poor
41,37,9.6,15.9,14.8,29.4,1.06,0.6,319,Moderate
27.5,55.3,16.4,26.4,19.6,22.5,0.6,0.4,324,Moderate
36.2,89.6,50.4,52.9,31.2,0,0.7,0.3,274,Good
22.5,54.9,16.7,30.2,27.3,0,1.08,1.4,283,Good
18.6,51.8,6.8,13.7,19.4,0,0.81,0.5,288,Good
19.4,64.5,25.5,33.9,27.1,18.4,0.53,0.7,299,Good
23.8,66.1,59,64.5,48.1,34.8,1.03,5.5,306,Moderate
21,61.6,1.3,15.9,55.6,10.3,0.63,5.1,297,Moderate
28.3,64.5,0.2,1.8,33.4,12,1.15,9.6,331,Good
14.8,72.6,42.7,46.8,24.7,18.1,0.06,1.8,283,Hazardous
28.4,72.1,11,17,35.1,14,1.07,13.7,263,Good
26.7,61.6,12.9,13.6,39.9,20.6,1.4,4.8,323,Good
14.8,48.3,7.4,15.3,24.5,12.6,1.39,16,292,Moderate
28.7,57.9,17.8,20.1,33.1,11.2,1.7,5.3,326,Hazardous
29.6,63.7,3.4,13.5,-0.9,20.4,0.97,4.3,290,Poor
24.2,100,9.7,19.7,10.8,21.9,0.81,11.7,304,Hazardous
24.2,57.4,18.7,32,15.1,8.6,1.31,17.4,324,Poor
22.4,51.2,39.7,45.4,19.1,19.1,1.14,0.5,285,Good
25.5,76.2,42.4,49,31.3,24.4,0.66,8.4,306,Poor
28.3,49.8,35.4,52.6,25.3,11.8,0.55,5.9,286,Moderate
22,48.2,20.8,37.1,14.2,11.6,0.52,3.7,322,Good
21.9,70.7,0.4,4.2,9.3,3.3,1.03,0.1,301,Moderate
21.9,39.3,28,36.5,17.2,28.2,1.07,0.7,305,Hazardous
30.2,68.9,43.5,53.1,61.6,0,0.98,13.9,285,Good
25.1,82,16,21.8,28,16.8,0.75,2.8,274,Hazardous
25,49.4,1.8,16.3,18.2,19.2,0.48,2.3,266,Good
27.9,40.2,37.6,44.5,13.6,35.3,0.97,7,294,Good
18.9,34.4,25.1,39.4,23.6,18.4,0.9,7.2,289,Good
23,23.7,72.4,83.5,7.9,14.5,1.01,4.7,281,Poor
31.9,66.4,0.8,10.3,35.2,8.9,0.86,2.7,286,Good
22.7,36.6,31.7,40,17.1,10,1.02,1.3,312,Good
23,67.5,81.5,86.6,23.7,2.9,0.63,2.2,301,Moderate
33.2,45.4,42.8,47.1,24,20.3,0.57,2.6,291,Moderate
23.2,76.5,24,36.7,36.2,17.8,1.22,2.5,279,Moderate
20.9,74,70,73.9,21.5,15.1,0.76,3.9,275,Hazardous
25.8,71.6,18.8,30.6,14.4,13.5,0.74,9.3,329,Moderate
24.3,36.3,60.8,73,7.2,15.7,1.16,1.2,288,Good
25.6,73.5,27.5,37.7,10.6,8.1,0.7,1.2,293,Moderate
24.1,56.4,4.5,15.4,16.4,0,0.67,0.5,284,Good
24.3,75,94.2,104.5,29.8,7,0.76,1.1,290,Good
31.4,50.3,16.8,20.2,23.1,0,0.94,0.7,265,Good
29.2,73.3,33.2,35.1,11.6,12.2,0.66,7.9,330,Moderate
22.8,56,54,56.5,21.4,15,1.06,0.9,290,Good
26.4,75.8,43.6,50,16.9,12.3,0.73,1.8,307,Poor
19.6,58,48.4,58,22.5,31.8,0.89,3.3,304,Good
18.9,32.2,18.1,22.9,26.8,18.9,1.5,3.4,266,Moderate
30,76.2,2.7,14.3,32.4,16.5,1.2,6.2,289,Good
26.7,55.8,15.3,25.9,54,18.9,0.99,0.8,314,Moderate
32.1,53.4,4.4,21.7,17.2,0,1.44,0.7,284,Hazardous
21.7,75.7,102.4,102.6,16.4,22.8,0.87,2.4,328,Moderate
25,60.5,16.2,22.2,25.4,26.7,0.84,6.5,327,Good
20.5,65.2,49.6,59.1,-4.5,17.2,0.87,6.7,297,Hazardous
17.7,66.8,11.2,23.8,36.3,14.5,0.99,0.8,288,Poor
20.8,75.5,44.2,55.8,21.8,20.9,0.23,5.6,290,Moderate
16.8,80.1,12.1,22.7,24.7,24.3,0.5,0.5,294,Poor
23,39.7,27.8,46.5,26.5,20.6,0.69,1.9,294,Moderate
28.3,64.9,4,16.9,21.2,7.2,0.38,3,298,Moderate
25.4,32.8,77.7,81.9,7.5,11.7,1.27,5.2,281,Poor
27.9,51.2,26.6,34,48.8,24.2,1.13,4.6,292,Good
31.2,65.7,12.2,26.5,21.7,17.3,0.57,4.8,268,Moderate
20.8,65.3,31.8,46.6,13.8,0,0.88,1.2,330,Poor
23.6,61.5,3,19.8,9.7,10,0.11,0.4,301,Moderate
29.9,39.7,51.7,54.8,24,6,1.06,9.7,308,Moderate
19.6,66.1,29.7,40.4,39.6,9.9,0.65,0.4,326,Good
36,47.9,145.3,159.7,36,4.8,0.98,1.1,281,Good
21.4,29.3,47.8,64.1,-8.2,26.8,1,1.7,301,Good
21.2,60,48.1,63.3,17.9,20.8,1.44,3.3,334,Poor
22.2,44.3,77.8,88.2,5.3,9.4,0.85,3.7,294,Poor
25.7,56.4,98.9,110.1,27.3,21.6,1.17,9.8,297,Moderate
27.7,62.9,15.1,21.3,34.3,18.1,1.23,0.8,323,Good
30.9,55.5,17.4,26.2,5.2,19.4,1.22,0.3,324,Good
24.8,61.2,36,49,35.9,29.9,0.6,1.2,279,Hazardous
29,16,21.4,29.8,23.5,23.8,0.81,2.9,312,Good
26.9,70.5,15.4,21.1,26.5,16.5,1.02,11.5,299,Hazardous
23.2,51.1,53.3,68,16.9,20.6,0.98,2.1,331,Hazardous
16.7,82.7,26.8,29.7,34,10.6,0.75,0.8,298,Moderate
20.8,47.8,3.5,13.3,9.7,14.9,1.13,13.1,289,Good
21.8,73.5,196,202.3,11.8,21.5,1.12,7.9,304,Poor
24.5,80.7,62.2,69.1,21.8,24.3,0.95,2.4,292,Moderate
29.1,81.7,8.6,19.8,2.9,20.9,0.71,0,296,Hazardous
21,78.8,3.6,21.3,17.1,9.3,1.13,3.7,305,Good
18,61.6,13.4,24.9,16.4,6.2,0.96,5.4,309,Poor
26.4,35.3,18.1,35.7,14.5,19.3,0.79,3.8,319,Good
19.7,91.7,57,69,28.3,16.5,0.45,5.8,336,Moderate
19.8,49.8,7.6,16.2,27.5,17.7,0.9,2.3,313,Poor
26.2,94.2,10.4,23.1,11.9,27,0.93,3.6,332,Hazardous
25.6,28.3,38.7,40.8,28.9,24.3,1.19,6.8,299,Poor
24.5,42.6,35.8,44.8,16.9,16.8,1.11,1.6,288,Good
22.7,56.8,8.8,19.3,21,14.4,0.75,1.7,301,Moderate
21.2,54.7,7.7,16.2,23.9,26.6,0.7,0.3,282,Good
21.9,62.1,1.2,20.3,5,20.8,1.33,3.4,310,Hazardous
30.5,75.3,22.3,32.7,8.8,19.1,0.41,7.2,306,Poor
22.5,65.2,21.4,30.2,27.9,11.6,0.92,5,283,Good
20.1,36.8,14.1,24.6,55,18.9,0.79,5.4,283,Poor
27.9,51.8,1.6,10,12.6,18.8,0.56,3.6,265,Hazardous
22.7,50.2,18.5,28.1,40,28.5,1.31,3.4,277,Good
29.2,70.3,12.1,24.4,12.5,7.6,1.22,2.5,301,Hazardous
19,86,2,8.3,23.9,18.2,0.58,1.3,265,Good
19.7,73.8,0.7,16.1,10.7,13.3,0.99,3,309,Good
20.6,79,6.5,24.6,5.6,15.4,0.55,4.6,283,Poor
26.7,55.7,0.2,10.2,33.9,16.1,1.18,1.3,287,Good
17.3,62.2,19.8,23.4,16.5,15.6,0.6,3.8,302,Moderate
28.5,46.9,15.4,24.6,31.9,15.4,1.2,4.8,288,Moderate
16.2,67.8,8.4,18.5,31.5,22.7,0.28,0.9,295,Poor
27.7,70.4,7.1,16.1,2.2,5.5,1.14,5.2,334,Moderate
23.7,57,46.1,51.5,42.6,26.4,1.02,6.4,300,Good
23.3,39,22.3,38.5,26.5,13.4,0.74,0,307,Moderate
23.8,63.7,25.8,29.2,37.4,11.6,1.16,3,308,Good
41.8,64.8,27.4,50.7,25.1,11.2,0.24,2.7,291,Poor
27.8,82.8,40.9,50.4,30.3,18.9,0.93,10.9,319,Good
36,77.9,2.2,7.6,34.1,21.7,0.91,2.4,326,Poor
24.6,75.5,68.5,81.3,13.1,8.3,0.71,1.4,280,Moderate
23.5,58.5,34.5,42.1,5.1,10.1,0.78,3.2,293,Moderate
28.7,39,36.2,49.6,16.9,41.7,0.74,0.3,308,Moderate
28.3,56.3,8,19.9,18.3,9.4,1.25,1.7,294,Good
20.8,56.2,118.3,129.1,-11.3,10.7,0.55,7.3,292,Hazardous
35.8,54.4,5.2,17.4,21.3,18.6,1.43,0.4,295,Moderate
25.2,67.5,35,42.7,19.5,19.2,0.51,3.9,311,Good
29.5,71.1,21,25.8,34.1,14.7,1.12,26.7,291,Hazardous
23.2,57.1,11.8,17.4,17.5,10.2,1.61,3,310,Good
20.9,56.3,28.1,42.1,26.8,5.9,0.65,3.3,289,Hazardous
26.1,39.5,25.9,42,25.2,13.4,0.91,9.1,309,Moderate
20.3,27,15.8,21.7,71.3,30,0.68,2.1,329,Good
20.6,62.4,33.6,51.8,29.9,6.9,1.04,1.1,316,Moderate
28.4,68.3,29.6,41.6,32.6,3.2,0.83,6.4,305,Good
23.1,47.7,53.2,53,28.2,21.3,1.34,11.6,292,Good
21.7,40.3,11,26.1,23.2,10,0.5,0.6,306,Good
17.4,81.5,32.3,46.5,25.3,9.1,0.57,3.7,311,Moderate
24,70.2,81.5,90.2,16,19,0.96,3.8,312,Good
20,29.6,19.5,30.1,18.3,17.6,-0.03,4.2,306,Good
21.5,59.6,149.2,166.4,30.9,8.9,0.82,6.9,261,Moderate
27.5,80.6,0.5,8.7,22.5,19.1,0.49,1,315,Poor
17.3,72.6,26.7,30.3,29.4,14.7,0.64,6.4,321,Poor
32.6,53.9,29.8,42.4,21.2,19.5,0.84,26.3,313,Good
28.3,80.7,22.2,41.6,9.1,16.9,1.01,3.6,315,Good
17.7,67.5,0,11.8,29.9,11.2,0.87,4.2,261,Moderate
21.5,77.2,15.4,26.6,12.2,17.2,0.73,3.8,300,Poor
21.6,54.9,28.8,28.7,18.9,11.5,0.68,15.9,303,Poor
29.7,51.5,37.4,48.3,21,20,1.07,3.6,311,Moderate
24.9,66.7,43,50.6,21.2,7.6,1.49,0,255,Moderate
14.5,67.3,6.8,17.9,11.9,29,0.74,4.2,296,Moderate
26.6,62.7,1.3,8.9,10.3,17.1,0.93,5.4,290,Good
20.7,73.3,57.5,72,27.7,27.8,1.12,8.3,286,Poor
33.2,62,58.2,65.5,16.2,0.2,1.17,3,303,Moderate
33.5,56.7,29.3,38,14.7,21.9,1.1,4.2,292,Moderate
27.5,75.4,111,108.4,10.1,36.8,0.66,3.4,328,Poor
24,79.8,35.4,45.4,16.2,32.2,1.1,0,300,Good
31.7,57.1,2.8,15.6,7.9,9.7,0.61,14.1,323,Good
24.9,70,86.5,96.9,33.6,9.5,0.88,4.9,313,Good
28.9,57,2.8,14.4,1.1,29.3,1.28,6.6,313,Moderate
35,58.9,8.4,24.1,10.3,23.7,1.51,0.7,292,Good
34.3,70.4,8.2,11.8,37.7,0,1.06,0.9,297,Good
27,62.7,10.5,23.1,12.8,11.2,1.72,0.3,295,Poor
19.5,47.5,18.8,28.3,23.5,3.8,1.02,0.8,320,Poor
25.7,74.3,13,21.2,15.3,14,1.08,4.8,306,Moderate
26.9,38.2,7.5,20.1,12.5,17.9,1.27,11.8,319,Good
37.7,70.8,117.5,132.7,23.2,25.4,1.5,5.2,287,Good
17.9,66.1,52.1,66.2,32.8,17.9,0.43,3,272,Poor
33.4,39.9,5.4,25.4,19.3,24.4,0.4,13,307,Good
28,67.6,33.8,41.5,19.8,9.6,1.22,11.5,291,Moderate
20.2,76.8,39.1,43.9,12.5,8.9,1.02,4.8,313,Moderate
23.4,30.1,12.5,23.9,40.4,14.6,1.07,1.2,328,Poor
19.8,73.7,10.2,19.7,-4.2,18.5,1.11,2.3,301,Moderate
29.7,54.1,0.4,1.8,25.6,4.7,0.73,7.6,335,Hazardous
22.3,27.5,9.7,22,45.2,31.4,1.01,17.7,302,Poor
31.3,44.4,14.2,23.9,10.4,14.7,0.43,10,329,Good
18.9,33.8,33,46.5,14.8,16.4,0.57,12.8,310,Good
26.7,64.5,4.8,21.4,32.2,4.6,0.88,2.3,305,Moderate
21.3,64.5,72.1,80.3,16.7,12.2,1.2,1.3,330,Poor
34.5,38.9,9,13.6,14.4,12.3,1,13.6,298,Moderate
30.3,63.7,19.6,19.2,1.9,21,1.25,1.5,284,Hazardous
23.8,39.9,37.7,38.5,10.9,0,0.84,1.7,319,Moderate
23,65.6,99.2,110.6,5.6,2.2,1.08,1,270,Good
29.3,68.1,12.1,23.4,0.1,16.6,0.2,6.9,305,Moderate
31.2,71.3,8.8,17.7,15.9,12.9,0.73,3.9,309,Good
23.2,54,57,69.1,27.3,7.8,0.62,11.3,294,Poor
30,55.6,6.7,19.3,23.7,9.5,0.77,13.6,320,Good
27.5,81.1,28.8,41.1,2.4,23.4,0.55,0.7,307,Poor
30.2,62.4,55.6,60.4,20.3,21.3,0.7,2.8,297,Good
25.2,66.5,33.5,48.1,15.1,27.9,0.59,19.4,322,Good
30.8,61.7,72.5,80.8,33,15.4,1.33,2.5,294,Hazardous
28.1,48.3,65.1,68.8,13.4,19.1,0.67,0.2,289,Good
32.8,52.1,3.5,11.1,20.8,17.4,0.59,1.7,313,Good
19.7,71.4,28.6,42.4,37.6,12.2,0.94,1.7,299,Poor
30.7,77.9,24.6,34.4,20.2,20.8,0.37,6.3,302,Hazardous
29.3,61,11.3,17.5,27.2,18.4,0.51,14.5,291,Moderate
23.5,60.2,3.3,10.9,54.5,7.5,0.44,3.2,298,Good
21.9,85.1,32.1,44.9,34.1,23.7,1.26,0.4,310,Moderate
14.2,68.1,13.1,27.7,23.3,14.1,1.16,5,333,Good
29.9,48.2,33.6,42.2,19.7,0.4,0.75,4.6,298,Good
23.6,32.2,17.5,27.7,19.6,27.7,0.87,9.9,313,Moderate
18.3,52.1,68.2,79.2,12,10.6,0.95,3.7,299,Good
27.7,78.5,12.3,23.5,24.9,20.5,1.35,11.3,270,Poor
19.5,23.4,26.4,33.2,42,8.1,1.28,3.4,286,Moderate
16.6,60.2,1,8.2,23.8,25,1.68,0.8,300,Good
29.2,86.9,24.9,40,11.2,22.3,1.37,3.4,310,Good
25.3,69.3,0.5,9,33.6,12.8,0.71,5.5,296,Hazardous
25.9,67,11.9,17.9,17.3,21.7,1.41,21.4,295,Good
27.3,68.6,64,75.3,21.2,22.6,0.66,2.6,292,Hazardous
17.4,66.4,5.3,10.1,17.1,23.5,0.59,7.2,306,Good
19.5,72,71.3,78.6,41.2,27.4,1.09,0.1,287,Good
30.5,56.6,12.1,13.6,20.6,24.4,1.05,0.2,284,Moderate
33,83.1,2.3,17.4,14.5,13.1,0.9,9.7,295,Good
30.2,60.9,49.6,58.7,19,26.8,0.08,1.7,307,Moderate
13.9,69.8,15.8,21.8,11.3,25.5,1.18,4.8,298,Poor
21.5,60.9,68.9,83.1,45.9,6.6,0.14,5.1,308,Good
31.2,50.9,65.4,81.9,21.6,2.9,0.56,5.5,301,Good
22.3,99.8,32.3,47.5,19.2,1.9,0.86,11.8,308,Moderate
19.8,80.2,42.9,60.2,23.2,21,0.86,2.7,308,Good
20.2,59.5,20.1,30.7,13.8,13.3,0.44,3.2,261,Good
21.8,77.4,98.4,117.5,5,0,0.89,16,298,Moderate
18.2,42.7,11.6,16.4,19.9,9.1,0.96,4.2,307,Poor
25.1,61.1,17.5,29.7,9.8,16.1,1.08,2.9,302,Good
16.4,55,9.1,20.1,15.5,11.8,0.9,0.7,290,Poor
32.4,68.6,3.7,17.9,8.2,19,1.17,0,305,Poor
20.1,60.5,10.8,29.5,27.4,19.8,1.01,0.3,294,Good
23.5,70.1,63.4,83.8,20.3,26.7,1.22,0.6,309,Good
24.4,93.2,139.2,150.7,20.9,17.2,0.71,0.4,291,Moderate
20.4,56.5,1.7,16.3,14.9,19.8,0.43,0.3,312,Moderate
24,60.7,95.2,112.4,32.4,20.2,1.39,6.4,270,Poor
25.4,38.4,144.3,150.1,3.3,15.4,0.63,9.5,306,Moderate
24.7,70.2,104.6,107.4,16.9,16.7,1.16,8.1,318,Moderate
22.4,81.5,12.1,16.3,23.6,24.2,1.05,2.9,307,Good
31.3,56.4,9.1,19.6,17,34.8,0.56,7,300,Good
24.8,64.1,25.3,38.7,-7.6,10.8,0.54,10,304,Good
30.6,65.5,21.5,30.4,32.2,22.5,1.09,4.7,263,Good
22.6,33.2,21.3,27.9,22.8,10.5,1.23,3,302,Moderate
32.4,95.7,13.3,19.9,20.4,15.9,1.25,5.9,295,Moderate
21.6,35.2,17.1,30.8,16.1,14.9,0.97,12.9,292,Poor
32.9,66.5,19.7,26.8,24.1,13,1.01,9.5,295,Hazardous
22.8,50.2,7.1,22.6,22.3,26.7,0.5,8.2,313,Good
24.6,48.9,21.5,36.8,14,13.6,0.84,7.2,314,Good
22.2,61.3,12.1,19.2,3.1,3.5,1.29,1.8,294,Hazardous
27.3,43.5,14.4,26,23.9,14.3,1.14,0.8,280,Good
19.6,58.1,17,32.6,10.6,3.3,0.5,1.3,292,Good
24,41.2,7.3,17.4,12.7,13.9,1.02,1.1,291,Good
23.6,72.8,29.9,41.1,24.5,14.2,0.69,8,282,Poor
37.9,40.2,62.5,70.1,29.3,17.7,0.61,3.8,297,Good
19.5,41.1,39.6,62.6,0.7,14,0.65,27.2,313,Hazardous
19.6,59.1,13.2,22.5,13.8,4.9,0.67,3.3,316,Poor
29.7,60.8,33.1,36.9,13.9,5.3,0.81,5.4,269,Poor
25.5,64.3,3,15.4,22.6,37.6,1.03,5.5,310,Moderate
29.3,64.3,1.6,9.8,29.4,13,0.91,7.7,290,Moderate
30.9,76.5,6.1,6.3,33.2,11.3,1.55,0.3,298,Good
26.8,52.1,30.9,36.4,21.2,7.9,0.67,2.7,316,Good
18.4,72.4,19,29,15.6,3.5,0.72,2.9,296,Moderate
18.1,70.8,15.4,31.6,21.4,10.4,1.35,4.4,302,Poor
27.2,62.5,34,44.7,25.5,14.5,0.88,2.7,293,Moderate
26.5,82.9,84.5,96,38.4,11.5,0.3,9.2,297,Good
25.1,60,66.9,77,16.3,16,0.51,7.1,302,Poor
27.2,60.3,131.5,144.9,7.9,22.9,0.98,1,287,Good
23.8,43.4,4.3,8.7,29.6,24.8,1.04,1.5,280,Poor
36.2,64.8,18.8,27.7,37.4,14.1,1.08,0.8,303,Moderate
18.4,51.1,24.9,42.7,29.2,16.7,1,0.5,321,Good
22.5,76.3,8.7,15.4,28.2,18.6,0.58,4.5,288,Good
18.8,58.5,63.7,76.8,32.8,19.1,0.99,1.9,280,Moderate
23.4,33.8,41.9,46.4,27.3,0.7,0.55,4.5,309,Good
21.7,58.8,22.5,34.7,31.5,16.4,0.85,1.9,319,Good
26.4,52.1,44.2,57.3,45.3,16.5,0.67,0.5,308,Good
24.5,63.9,13.6,25.9,17.5,16.5,0.4,4.6,287,Poor
26,61.4,5.9,27.1,7.4,7.8,1.17,3.1,280,Good
26,81.4,56.1,67.6,28.7,24.7,0.72,5,277,Hazardous
30.6,67,12.9,15.5,13.9,10,0.63,5.2,309,Good
15.8,61.4,51,66.7,22.6,29.4,0.28,1.6,293,Good
24.7,44.7,70.6,78.8,1.9,16.7,0.82,0,302,Poor
20.5,55.9,31.4,34.6,27.4,14.7,0.86,6.7,307,Good
38.5,85.1,4.9,15.2,16.3,19.7,0.86,10.8,282,Good
30.4,65.3,5.9,4.9,3.8,23.6,0.49,8.1,297,Good
21.6,49,8.8,27.8,29.9,7.8,0.8,2,291,Good
21,52.9,48.1,57.7,12.6,4.7,0.68,12.6,330,Good
28.2,40.3,6.8,23.5,31,25.7,0.9,1.8,276,Hazardous
25.7,44.9,33.3,43.8,26.5,16.8,1.01,6.2,311,Poor
30.5,66.2,24.1,33.8,4.8,25.8,0.51,1.2,326,Moderate
20.1,62.5,0.6,15.3,25.7,11.3,1.22,7.2,319,Good
24.3,72.3,10.6,26.6,19.6,16.8,0.27,4.6,313,Good
24.2,66.7,23.4,36.8,25.4,8.7,0.78,2.8,307,Good
26.3,48.4,51.4,52.7,10.7,14.5,1.03,3.7,286,Good
26.8,34.6,7.2,20.7,15.5,16.2,1.01,12.7,298,Good
26.3,39,32.6,42.8,29.7,18.5,1.14,4.6,262,Moderate
21.5,57.2,20.2,38,25.8,18.8,1.16,7.4,300,Hazardous
21.9,73,6.6,18.3,15.3,21.9,0.78,3.5,316,Moderate
29.3,60,12,22.4,39.6,10,0.86,0.6,300,Moderate
29.8,64.2,29.3,35.1,24.7,0,0.75,0.4,282,Poor
22.3,49.3,7,18.2,37.2,21.2,1.04,2.4,310,Good
22.6,49.8,13.3,32,9.9,13.4,1.59,4.6,300,Hazardous
29.6,70.3,14.3,32.8,15.6,25.2,1.16,1.5,271,Good
22.5,70.7,44.7,58.5,27,20.7,1.06,0.1,316,Good
24,80.3,26.6,39.6,1.5,13.8,0.61,8.3,282,Poor
25.4,67.8,27.3,39.8,18.6,18.7,0.3,2.4,316,Moderate
22.4,65.8,74,79.3,6.9,32.2,1.16,0.3,321,Hazardous
21,68.9,4.4,19.1,26.5,17.1,0.52,3.5,314,Moderate
22.7,42.7,21.4,26.2,17.5,12.7,1.04,3.1,298,Good
25.8,54.5,28.4,32.4,19.4,26.4,0.78,7.8,305,Good
23.8,81.8,39.3,51.9,18.6,20.7,0.99,1.2,302,Good
21.4,56.5,16.6,25.2,34.4,22.7,0.95,6.3,310,Moderate
29.8,48.2,44.9,61,13.7,9.7,1.01,1.9,330,Moderate
24.5,80.6,25.7,36.9,13,12.4,0.89,16.9,303,Good
22.4,58.6,30.7,43.9,7,22.7,0.58,11.3,263,Good
31.2,77.5,4.8,11.5,3.4,22.2,0.92,11.4,316,Good
33.4,68.1,29.1,53.1,37.3,29.8,0.96,2.7,308,Moderate
33.1,80.7,22.5,40.7,30.3,27.4,0.18,13.2,307,Moderate
27.8,37.8,2.4,14.7,18.3,12,0.65,4.6,298,Good
18.1,76.8,21.5,35.6,20.8,7.7,0.74,2.3,328,Poor
27.5,73,15.6,23.4,11.4,19.9,1.11,11.3,300,Poor
19.8,93.9,25.5,38.9,5.8,11,0.91,3.5,323,Good
33.3,84.8,1.8,8.9,24.5,16.2,1.06,7.9,307,Good
19,41.6,9.8,25.1,22.1,11.2,0.91,1.4,325,Good
23.7,61.6,13.1,17.5,26.6,15.4,1.3,9.6,314,Good
21,37.7,35.2,43.1,18.7,13.9,1.02,19.9,272,Hazardous
26.5,42.6,1.7,17,38.2,6.5,0.72,0.9,334,Moderate
39.4,52.6,77.6,84.3,22.7,21.4,0.39,3.2,280,Good
42.1,60.4,78.7,84.5,14.6,7.1,0.42,4.8,326,Good
40.9,51.4,4.5,20.8,29.8,15.3,0.23,9.1,285,Good
26.8,77.9,5.3,12.1,24,0,0.85,28,306,Good
22,44.5,156.8,171.7,34.2,10.2,0.98,5.3,287,Good
30.4,68.8,2.1,12,16.7,19,1.09,10.6,318,Good
19,67,3.6,15.3,34.2,23.7,0.99,7.1,284,Hazardous
30.8,50.9,45.1,56.9,33.1,9.9,1.09,14.1,301,Good
26.7,59.9,27.1,29.7,32.3,13.1,1.02,2.7,322,Moderate
19.3,59.1,56.2,65.4,26.9,18.8,1.3,5.1,288,Good
19.5,57.3,25.1,36.9,15,31.3,0.61,1,302,Good
24.2,84.5,1.7,9.4,41,11.9,1.18,1.5,300,Moderate
24,49.3,107.1,120.7,26.2,13.3,0.77,8.2,301,Good
22.2,56.1,65.9,75.4,25.4,9.5,0.46,0.7,297,Poor
29,35.5,48.1,48.4,19,0,0.54,4.8,275,Good
28,51,20.4,26.4,19.1,21.6,0.61,2.2,325,Moderate
21.9,44,17.5,28.6,24.5,14.9,0.91,0.7,317,Good
25.8,39.7,0.9,6.8,21.2,18.5,1.3,1.9,292,Good
21.4,74.3,110.6,117,36.8,18.6,0.81,4.1,281,Hazardous
21.6,60,81.3,88.9,21.2,11.4,1.25,1.2,283,Good
24.8,40.7,19.7,31.1,29.8,21.8,1.1,22.2,304,Poor
21.2,36.4,13.5,22.1,25.3,26.2,0.92,1.7,282,Poor
40.8,40.1,76.7,92.7,36.2,19.4,1.21,3.5,269,Moderate
23.9,65.4,42.2,48.1,20.8,23.1,0.67,1,258,Moderate
20.7,74.1,60.2,67.5,21.6,17.8,1.08,0.3,262,Good
18.6,38.2,3.2,6.3,10.3,12.7,0.81,6.9,305,Moderate
26.3,53.7,23.3,24.9,14.8,21.8,0.8,5.8,299,Moderate
31.6,69.9,8.9,21.1,24,17.4,1.08,9,278,Moderate
28.3,44.2,15.7,30.1,4.3,23.5,0.95,5.1,301,Good
28.4,53.1,5.1,18.8,25.7,10.9,0.35,1.7,291,Moderate
22.8,58.9,3.6,14.5,10.2,15.3,1.23,18.1,278,Poor
23,80.7,1.3,14.1,25.7,18.3,0.91,6.8,282,Poor
23.7,100,5.9,16.9,34.5,22.4,0.76,1.5,323,Good
15.7,69.4,47.7,56.1,22.1,8.9,0.96,5.1,278,Moderate
14.4,74.4,2.6,10.6,19,25.2,1.25,9.8,335,Good
17.4,58.9,48.5,59.4,18.3,12,0.46,2.5,291,Good
25.5,67.7,2.6,14.5,2.7,7.8,1.54,5.7,303,Hazardous
18.2,63.9,16.7,24.4,23.4,5.4,1.55,4.3,281,Good
22.7,61.6,19.9,32.7,37.6,12.5,0.79,15,251,Good
24.8,58.1,0.7,6.5,20.9,16.8,0.73,1.6,307,Hazardous
